,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
423,Tao of Crypto,132,50,2,Mars,"Bank of America: “cryptos are the ""anarchy hedge"""
424,Chocolate’Chip Cookies💋,372,177,0,,&amp; Bank of America you can count ur fucking days as me being a valuable customer cuz bitch who tf y’all think y’all… https://t.co/rQDhadZmYa
425,Ashley Calvin,26,26,0,,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
426,N A,251899,669,0,"London, UK","Bank of America Corp. stock falls Friday, underperforms market - MarketWatch https://t.co/8FxRkbAjbI"
427,Alesia Hendley,110782,5330,0,"Florida, USA",RT @NerdyGirlAV: @thesmoothfactor @chris_neto The irony that the next post I saw after this was a promoted ad for bank of America 😅
428,Gemini Seasoning ♊,4665,98,1,United States,"@DaTrapHausDiva @solomonmissouri Navient, Bank of America, Chase"
429,Brittany,122652,561,0,North Carolinaaaa,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
430,smorffer,48193,4936,0,World,First National Bank of America review: Michigan bank with high interest rates on CDs https://t.co/GUpxfnC0YG (… https://t.co/mN8iGxAWql
431,smorffer,48193,4936,0,World,First National Bank of America review: Michigan bank with high interest rates on CDs https://t.co/GUpxfnBt98… https://t.co/sed6AWNj1K
432,NerdyGirlAV,2717,751,3,"New Jersey, USA",@thesmoothfactor @chris_neto The irony that the next post I saw after this was a promoted ad for bank of America 😅
433,Jénesis A. Viloria Quintero ♥,68120,325,0,"Paris, France","RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
434,Vital Link OC,1576,262,1,"Orange County, CA","Thank you to Bank of America for their generous support of our programs! 

#VitalLink #BankOfAmerica https://t.co/86OQB4qDTv"
435,léo ✿,20430,97,0,"Paris, France",RT @eImaIqueer: @BankofAmerica One finger in my pussy as soon as I saw newt in this ad. Very effective if you ask me thank you Bank of Amer…
436,Bruce Mowry,17705,774,0,,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
437,Caitriona Fottrell,3360,2176,0,"Dublin City, Ireland",RT @TheIrelandFunds: The Ireland Funds is delighted to honor US Secretary of Labor Martin J. Walsh with The Ireland Funds 2021 Distinguishe…
438,🇧🇷 Consu Müller 😎,109811,865,0,Curitiba / Brasil,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
439,Jenna Lofton,1849,33,0,"New York, NY","Bank of America hikes price targets for three EV stocks, says Tesla shares can climb 17% https://t.co/WwKjrZgDYH… https://t.co/hxqyLjFNIQ"
440,Lu.Tav.,66488,601,0,Brasil,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
441,CityBoiStudios,14751,9055,0,St. Louis Missouri,RT @BOAStadiumWx: Bank of America Stadium at sunset and it's 66.7 F. https://t.co/pFKG6KNQ8n
442,🇧🇷Ordem & Progresso🇧🇷 Voto Impresso!,228001,3191,0,,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
443,┌П┐(-_•)┌П┐,39998,2620,0,,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
444,akira,89696,806,0,Not here,RT @KimberlyYeeAZ: I oppose Biden's Soviet-style bank regulator nominee. Biden wants Omarova in charge of our bank system who studied in Mo…
445,PatsAresister,13658,4400,0,,@BankofAmerica @UA_Chicago I am a 40 year BOA customer and I LOVE them. Thank you Bank of America
446,david emery boggess,114,7,0,,"The on-again, off-again proposal to require banks to monitor and report on the activity of America’s bank accounts… https://t.co/lTs7e3DNqN"
447,𝐓𝐡𝐞 𝐍𝐨𝐭𝐨𝐫𝐢𝐨𝐮𝐬 𝐁𝐚𝐧𝐤𝐞𝐫 James Baca,62090,3166,5,"Las Cruces, NM",Find someone who looks at you like Bank of America CEO Brian Moynihan looks at Prince Charles... https://t.co/RO41s6n4xI
448,Christina_21700,104898,1645,0,Maryland,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
449,StartUp Mindset,68299,156744,0,,"""Realizing that many of their customers could be out of work or dealing with hard financial times, Bank of America… https://t.co/hgSFoLSa5F"
450,Port Charles Teen Library & Boring Safe Space,10930,134,0,"Port Charles, New York","RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
451,Michelle Korabek,39379,1572,0,"Buffalo,  NY","RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
452,Investigation Discovery,46167,194415,0,,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
453,Watkins,5052,440,0,"King, North Carolina","RT @WillKunkelFOX: Bank of America Stadium says it all

HE'S BACK!!

🙌🙌🙌 https://t.co/visPwS6zSz"
454,Lillian,157429,4385,0,,RT @mrochabrun: Bank of America:  “Peru's inflationary dynamics have turned ugly.” https://t.co/69E9yXTwLc
